flag_labelx,FMD1,FMD2,FMN1,FMN2,FR1,FR2,MAV1,MAV2,MFMD1,MFMD2,MFMN1,MFMN2,MMAV11,MMAV12,MMAV21,MMAV22,SSI1,SSI2,WAMP1,WAMP2,WL1,WL2,ZC1,ZC2
0,508173.544947439,556007.536214206,0.934306449511981,0.934407291868062,0.00393151553582755,0.00370078262452225,157.7,164.83,248.127474194888,260.337325015556,363.850556507486,364.495973327271,118.305,123.96,78.65,83.41,248764.08,271852.73,0,0,28.5,32.1,0,0
0,529797.339960433,531948.673401327,0.934275689203343,0.934333783243044,0.00223435948361471,0.000309962184613477,161.12,161.31,255.077742979761,253.807671343227,364.893183160206,363.850670447904,120.605,120.975,79.97,80.312,259641.3,260339.17,0,0,26.3,29.5000000000001,0,0
0,519398.368185399,592571.00343162,0.934283099913092,0.934556513985484,0.000627037873087535,0.00586785588545945,159.48,170.42,250.8322132357,271.686443277904,363.785732363766,366.062074653532,119.725,127.36,80.15,82.768,254396.22,291087.42,0,0,25.8,43.6,0,0
0,534575.949442885,626983.035348978,0.934333190412876,0.93430422239368,0.00265809482598748,0.00416500256746731,161.77,175.27,256.317604192733,276.941127569301,365.031718613849,364.565815569216,120.985,131.51,80.188,88.302,261769.63,307332.59,0,0,31.4,31.8,0,0
0,514527.870419715,612857.908240328,0.93429564215894,0.934316554683792,0.00290001260875056,0.000866701334720055,158.62,173.07,249.262105861099,272.832096344859,363.637797300923,364.17435014074,119.045,129.97,79.082,86.978,251681.9,299622.75,0,0,28.2,29.4,0,0
0,535031.723929161,588151.334323936,0.934305273685311,0.934318828809975,0.000123548307388147,0.00135509338360924,161.88,169.73,256.299004205677,267.529867743146,364.905055065977,364.150977302759,121.07,127.28,80.332,84.802,262114.4,288200.27,0,0,28.5,29.6,0,0
0,514857.701709068,598257.336509147,0.934291948684461,0.934369373086971,0.000566857718712589,0.00186872226115383,158.77,171.24,249.322799698465,271.7137624335,363.518672508605,365.274124292805,119.33,128.24,80.01,85.532,252153.31,293367.8,0,0,26.8999999999999,31.3,0,0
0,533114.066727202,622433.608984578,0.934323084209106,0.934355988745879,0.0013607125185552,0.00326891093651433,161.68,174.37,256.480353023252,273.592051488873,365.232088312207,363.377128781251,120.805,131.095,79.802,87.672,261476.04,304173.37,0,0,32,33.7,0,0
0,534683.026059176,516654.870838198,0.934252929624726,0.934380511136669,0.00253508934644168,0.00213139418254756,161.73,159.52,254.622585356686,256.261891020615,363.953229288028,367.336483402789,121.42,119.095,81.154,80.466,261608.21,254902.18,0,0,23.9,34.8,0,0
0,543362.445387727,500573.719575975,0.934276262068441,0.934272057329809,0.000490075961774047,0.000383239652529396,163.24,156.56,259.212229588084,246.747301321288,365.398869994773,364.134589882957,121.97,117.42,80.724,78.392,266537.8,245158.02,0,0,25.7,25.3,0,0
0,522047.634488606,557941.196622532,0.934290181496655,0.93436251154033,0.00181510921950302,0.00726480203414457,159.77,165.18,250.948450372121,261.911876065699,363.556101116295,365.154628871109,120.095,123.505,80.932,80.13,255349.83,273309.24,0,0,25.6000000000001,30.8,0,0
0,528806.657735466,650475.391447086,0.934286535685106,0.934315460811475,0.000186346978073144,0.000392795017114666,160.99,178.21,255.234625842585,279.188350700801,365.132539554107,363.116107050867,120.335,133.945,79.632,89.352,259235.75,317734.31,0,0,27.7,32.3,0,0
0,536365.988430564,634825.1044468,0.934288431033284,0.934292738994792,0.00370233246945576,0.0014747589336358,162.06,176.3,255.170995767,278.718904751383,363.972392172681,364.656818996176,121.58,132.29,80.928,88.72,262703.56,310910.28,0,0,25.8999999999999,25.8,0,0
0,551797.912019506,578794.155438616,0.934257965819493,0.934276717047502,0.000729305943843401,0.00481254827401813,164.54,168.31,261.734256403041,265.759372480177,365.692559304247,364.448728256933,122.9,126.485,81.316,85.592,270804.7,283449.35,0,0,22.8,28.7,0,0
0,547685.336972327,571706.99855513,0.934244924236902,0.934383542452536,0.000855536543632419,0.00310930399425971,163.64,167.24,256.825190451663,264.868955953924,363.422690002004,364.958246971414,123.005,125.42,82.17,83.388,267848.82,279845.84,0,0,22.2,32.9,0,0
0,539156.997418733,547684.125980048,0.934280336119918,0.934317875402974,0.00325532829678764,0.00427298254181419,162.81,163.82,259.901426537821,259.866253933886,366.285385277218,365.226344942114,121.54,122.91,80.622,82.776,265171.23,268504.06,0,0,27.3,26.9,0,0
0,555065.508716375,505071.8315573,0.934275991370566,0.934362924483352,0.000911466245366713,0.000380807311500395,164.57,157.56,257.24939424509,251.497970963005,362.738827320533,366.270355293719,123.925,117.665,83.076,78.158,270949.23,248418.14,0,0,26.2000000000001,31.4,0,0
0,545942.651178026,516638.369653698,0.934267668120644,0.934335665939471,0.00146555935515387,6.28970375494742e-05,163.76,158.99,261.051615715947,249.891556204115,366.050961938818,363.670404431876,122.26,119.26,81.124,79.242,268269.5,252894.05,0,0,26.1,28.2,0,0
0,538240.627112438,528172.912655048,0.934295051948924,0.934384247498274,0.00351439669523401,0.00180471715725923,162.19,160.69,254.449422060457,253.699158981748,363.355872522318,364.429869724494,121.935,120.615,81.644,80.712,263147.99,258329.37,0,0,27.1,31.5,0,0
0,540780.406132482,500373.736084815,0.93426705752917,0.934328326198754,0.00104377724565607,0.00517274410881915,162.87,156.59,258.84342461717,247.109352643829,365.540776639123,364.35011644344,121.705,117.6,80.568,79.11,265332.87,245347.21,0,0,24.7,29.1,0,0
0,534629.425503763,559146.858271075,0.934267199593089,0.934424940469937,0.00241261985771735,0.00653594771241834,161.65,165.24,253.567747017358,261.538074035833,363.332743062222,364.853083708329,121.65,123.64,81.922,80.352,261394.17,273509.86,0,0,25.1,36.1,0,0
0,522297.11021558,597397.871522239,0.934316916888659,0.934261313196662,0.00124890720619458,0.000935016362786296,160.14,171.12,255.123918460515,270.088551287238,365.948008359935,364.381336728818,119.49,128.28,79.02,85.548,256552.78,292877.12,0,0,30.6999999999999,25.3,0,0
0,558115.805864275,589916.451769593,0.934303624191242,0.93428893205761,0.0063655653228251,0.00100041193432599,164.95,169.93,258.03906333723,268.280660681749,362.868187096228,364.425643336172,124.23,127.46,83.066,85.17,272238.81,288826.71,0,0,29,27.0999999999999,0,0
0,564414.470962499,576684.029688233,0.934362195278661,0.93426007042246,0.00300408555635658,0.00148747545665497,166.44,168.07,265.250882896349,265.216523932174,366.004955326223,364.344365367942,124.19,126.005,82.156,84.084,277156.96,282532.05,0,0,36.7,25,0,0
0,573552.358386318,577998.103439878,0.934312736048732,0.934303489357216,0.00304714106470695,0.00303156393033355,167.37,168.23,262.067915087194,265.91286312596,363.026334915956,364.626438879405,125.905,126.12,84.296,83.97,280251.13,283085.55,0,0,29,26.6,0,0
0,584774.397473808,591643.462570387,0.934294513841875,0.934258283308183,0.000826348719159472,0.000470201010932147,169.42,170.14,269.677121114062,267.999125099375,365.804599416161,364.039248325246,126.495,127.655,83.698,85.182,287127.1,289520.34,0,0,29.7,25.7,0,0
0,574892.632578372,586314.881510719,0.934294233130161,0.934285922955824,0.00387573788086578,0.00312813551319126,167.71,169.43,263.507560371302,267.604336243415,363.612712780173,364.497005912107,126.05,127.04,84.482,84.814,281353.69,287117.99,0,0,26.1,27.0000000000001,0,0
0,578867.369541859,578276.948559018,0.934305690452123,0.934267652077706,0.00249228578210304,0.00166330046334803,168.52,168.34,268.47469003653,265.713952038601,365.948219077117,364.389752003643,125.79,126.15,82.972,83.992,284094.58,283433.02,0,0,31.6,26.2,0,0
0,573702.464840378,583379.357004801,0.934268846795196,0.934295736925547,0.00220987875530075,0.00254422815218038,167.43,169.01,262.454013110078,267.008207784173,363.215911728986,364.539520935762,125.985,126.73,84.492,84.538,280432.35,285710.37,0,0,25.9,27.3,0,0
0,587832.198246758,591133.804586578,0.934377269672512,0.934266426171023,0.00235571260306243,0.00152851263962376,169.8,170.1,270.569157496308,267.965210949338,365.982403837173,364.057628329314,126.67,127.65,83.62,85.328,288460.72,289397.82,0,0,39.4,26.1000000000001,0,0
0,564487.232358349,593345.540511474,0.934258710579299,0.934295153404417,0.00168471720818295,0.0018774935461159,166.2,170.44,261.035499439072,269.157381716541,363.547997257446,364.470542438256,125.03,127.795,84.136,85.37,276313.88,290560.88,0,0,23.6,28.8,0,0
0,564963.333406601,600459.452401927,0.93440379080354,0.934247842245187,0.00216034565530479,5.82512960912188e-05,166.64,171.67,266.697435640067,271.807969328407,366.712558646524,364.91050607121,124.025,128.39,81.318,84.674,277901.34,294793.71,0,0,39.3,26.2,0,0
0,585229.176003817,651746.955974464,0.934276384680067,0.93433876422608,0.00254302442486247,0.00162510507144857,169.09,178.45,264.902642961826,281.231632909237,363.117339402444,364.125246126357,127.28,133.935,85.29,89.504,286036.33,318545.55,0,0,26.6,31.7,0,0
0,593008.771481312,611649.473759,0.934378494947487,0.934257592315922,0.00187529301453355,0.00340666320226346,170.64,173.19,272.554294563109,274.065993783348,366.379442282229,364.819175985856,127.195,129.77,84.046,86.862,291362.9,300024.43,0,0,38,24.0000000000001,0,0
0,575484.649354778,596276.866156314,0.934309316786381,0.934271912802989,0.00184688710157874,0.00198923472969809,167.85,170.92,263.369435451252,270.37163335431,363.381949554464,364.755490675787,126.24,128.12,84.666,85.472,281865.21,292197.46,0,0,26.6000000000001,25.8,0,0
0,593400.668954339,582327.151845032,0.934328082275853,0.934275395775376,0.00134810386261061,0.00272350503256359,170.61,168.9,271.922467361037,266.439373216401,366.020935643171,364.289248533529,127.33,126.65,84.038,84.524,291209.61,285343.76,0,0,33.0999999999999,25.3,0,0
