?.40  0
37.60  269.80  0
41.40  288.50  0
68.10  315.70  0
76.00  313.80  0
77.40  34.70  0
77.10  276.90  0
75.10  255.10  0

65.70  258.50  0
65.60  261.10  0
64.50  262.20  0
63.80  266.20  0
85.40  265.70  0
112.50  265.90  0
139.20  268.50  0
163.70  266.70  0
187.30  267.00  0
187.30  268.60  0
185.90  268.20  0
194.00  271.80  0
198.50  272.70  0
221.10  273.60  0
243.00  272.90  0
264.00  273.90  0
282.60  274.30  0
295.50  275.40  0
295.50  291.30  0
295.50  295.50  0
296.00  295.50  0
295.10  295.50  0
295.70  295.50  0
295.60  295.20  0
295.30  295.50  0
295.50  295.40  0
295.70  295.50  0
295.10  295.70  0
289.70  295.10  0
282.80  294.70  0
277.00  295.60  0
271.90  295.30  0
267.50  295.40  0
263.80  295.10  0
260.10  295.50  0
256.20  295.50  0
251.80  295.50  0
245.80  295.60  0
239.70  295.40  0
233.70  295.20  0
229.70  295.50  0
226.50  295.50  0
226.00  294.90  0
229.60  295.90  0
248.70  316.90  0
263.50  310.50  0
263.10  293.70  0
260.20  261.50  0
265.90  30.50  0
268.40  316.60  0
264.50  311.00  0
275.40  295.00  0
293.70  295.30  0
285.60  295.70  0
279.40  295.50  0
273.60  295.50  0
269.90  295.50  0
264.60  295.50  0
259.50  295.60  0
254.70  295.60  0
251.00  295.50  0
248.50  295.40  0
247.00  295.40  0
246.30  295.50  0

280.40  289.90  0
278.80  259.30  0
276.50  248.80  0
273.40  247.50  0
269.50  248.30  0
264.70  250.80  0
260.50  252.60  0
256.40  254.70  0
252.80  256.20  0
248.00  261.30  0
243.60  260.60  0
238.90  263.20  0
234.80  263.70  0
230.90  262.60  0
228.40  266.80  0
224.20  268.40  0
220.40  265.90  0
218.20  267.10  0
216.40  270.00  0
215.20  272.30  0
219.60  275.00  0
237.90  274.80  0
255.80  273.80  0
271.30  274.80  0
268.90  272.90  0
263.60  278.50  0
259.30  277.30  0
256.00  278.40  0
253.80  280.10  0
264.40  281.70  0
280.60  280.80  0
295.80  280.20  0
295.50  282.60  0
294.70  282.90  0
295.50  281.40  0
295.50  281.50  0
295.60  282.60  0
295.40  285.10  0
295.60  285.20  0
294.70  288.90  0
295.50  290.40  0
295.50  287.30  0
295.50  285.60  0
295.70  287.60  0
295.80  287.30  0
294.70  288.90  0
295.50  287.30  0
295.90  288.10  0
296.00  293.50  0
295.60  292.30  0
295.70  293.60  0
294.90  291.80  0
295.60  290.10  0
295.60  292.20  0
295.30  292.70  0
295.50  293.40  0
294.80  291.20  0
295.10  291.80  0
295.80  293.80  0
295.60  294.90  0
295.50  296.00  0
295.40  294.10  0
295.50  296.00  0
295.10  295.10  0

295.50  299.70  0
295.50  299.70  0
295.70  299.20  0
294.80  31.30  0
295.50  298.90  0
295.10  31.70  0
295.50  30.50  0
295.90  299.70  0
295.60  30.10  0
295.80  31.20  0
295.60  31.80  0
295.50  30.90  0
295.80  299.00  0
295.60  31.90  0
295.50  32.60  0
